Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Partial User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Collection Costs,Residential Processing Costs,Residential Depot/Transfer Costs,Residential Promotion & Education Costs,Interest on Municipal  Capital,Administration Costs,Total Gross Revenue,Year,TOTAL Reported and/or Calculated Marketed Tonnes,operation cost,Program efficiency,change of Households Serviced,change of Marketed Tonnes,Quadrant
1674,0,0,True,True,False,False,840,6,False,108342.45,0.0,0.0,3493.63,0.0,3424.96,0.0,2019,138.55202775991427,111767.41,0.004308925475371645,0.0,0.0,4
345,26,26,False,False,False,False,843,6,True,31702.78,0.0,0.0,0.0,0.0,951.08,0.0,2019,24.720000000000002,32653.86,0.002828129255161125,0.0,0.0,4
357,26,26,False,False,False,False,846,6,True,34402.9,0.0,0.0,0.0,0.0,1032.09,0.0,2019,24.695999999999998,35434.99,0.002649812239408204,0.0,0.0,4
1438,52,0,True,False,True,False,888,6,False,46811.64,0.0,1054.86,0.0,0.0,1436.0,0.0,2019,103.64754100869357,49302.5,0.007830509175945665,0.0,0.0,4
545,26,0,False,False,False,False,889,6,False,46359.0,4664.0,0.0,262.0,0.0,1543.79,0.0,2019,36.258728414910095,52566.79,0.0026741950358772416,0.0,0.0,4
1485,26,26,True,False,True,False,891,6,True,96897.2,0.0,0.0,1339.55,0.0,2973.89,0.0,2019,291.1434394945195,99871.09,0.006583804723665769,0.0,0.0,4
437,52,52,False,False,False,False,904,6,True,12389.34,0.0,0.0,1291.4299999999998,0.0,436.25,0.0,2019,23.64144748103287,12825.59,0.007925020559853379,0.0,0.0,4
2299,26,0,True,True,False,False,906,6,True,176720.98,0.0,0.0,1641.71,0.0,5383.71,58.4,2019,251.9,182104.69,0.004178904423658538,0.0,0.0,4
1207,52,52,False,False,False,True,917,6,True,53179.18,0.0,0.0,4215.98,0.0,1806.17,0.0,2019,188.10307825939802,54985.35,0.008665718807683399,0.0,0.0,4
671,26,0,True,False,True,False,957,6,False,37708.31,0.0,0.0,1298.74,0.0,1196.19,0.0,2019,101.14874671311179,38904.5,0.006696404428580629,0.0,0.0,4
2222,26,26,True,False,True,False,959,6,True,79540.85,38197.45,0.0,1719.21,0.0,3618.11,0.0,2019,330.53645925433347,121356.41,0.0070618581874767345,0.0,0.0,4
108,52,0,False,False,False,False,969,6,True,31666.38,0.0,39494.75,5550.0,7066.61,3960.89,0.0,2019,20.253027862922966,75122.02,0.0006225720228053293,0.0,0.0,4
1799,26,0,True,False,True,False,970,6,True,71767.08,0.0,0.0,0.0,0.0,2153.01,161.72,2019,155.9518368102222,73920.09,0.007165530383118128,0.0,0.0,4
