Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Promotion & Education Costs,Interest on Municipal  Capital,Total Gross Revenue,Year,Interaction of Households Serviced and operation cost,operation cost,Program efficiency,TOTAL Reported and/or Calculated Marketed Tonnes,Quadrant,Previous_Target,Cluster_Labels,Cluster_Probabilities
752,26,26,False,False,False,765,6,True,0.0,0.0,0.0,2019,63122842.400000006,83939.95000000001,0.0030455525266608,86.9064,4,99.53546666666666,3,0.2175180417490848
211,26,26,False,False,False,770,6,True,500.0,0.0,0.0,2019,6401695.690000001,30339.790000000005,0.0024660102114384,26.52970536757145,4,37.406568455857155,3,0.6834071051125441
4245,26,26,True,True,False,774,6,True,7.88,2280.37,0.0,2019,1226323829.25,288886.65,0.0042645016750972,357.5311036963233,4,366.87888736402937,6,0.951132237996723
337,52,0,True,False,False,794,6,False,1073.21,272.02,0.0,2019,14397263.45,42721.85,0.0019051904461108,19.658346730975342,4,19.05239541339056,4,0.7208913085334551
292,26,26,False,False,False,806,6,True,40.0,0.0,0.0,2019,11558606.84,39584.27,0.0022842719202263,27.999999999999996,4,36.586666666666666,3,0.6373466759360327
6706,0,0,True,True,False,811,6,True,5380.950000000001,16965.56,7228.6,2019,3397706286.66,506666.61,0.0039149548894247,586.7249337903056,4,605.1602978961231,6,0.28783589531186826
521,26,26,False,False,False,824,6,True,0.0,0.0,0.0,2019,33399137.43,64105.83,0.0020642181406133,33.61,4,33.04333333333333,3,0.45950303487057825
205,52,52,False,False,True,826,6,True,30.0,0.0,0.0,2019,7441180.2,36298.44,0.0024690131473187,39.180400000000006,4,44.216800000000006,1,1.0
1674,0,0,True,True,False,840,6,False,3493.63,0.0,0.0,2019,187098644.34,111767.41,0.0043089254753716,138.55202775991427,4,139.32811823749805,5,0.8940715431894599
345,26,26,False,False,False,843,6,True,0.0,0.0,0.0,2019,11265581.7,32653.86,0.0028281292551611,24.72,4,24.80666666666666,3,0.72275863044325
357,26,26,False,False,False,846,6,True,0.0,0.0,0.0,2019,12650291.43,35434.99,0.0026498122394082,24.696,4,26.723,3,0.6834071051125441
1438,52,0,True,False,False,888,6,False,0.0,0.0,0.0,2019,70896995.0,49302.5,0.0078305091759456,103.64754100869357,4,100.59326559340246,4,0.4994187143419446
545,26,0,False,False,False,889,6,False,262.0,0.0,0.0,2019,28648900.55,52566.79,0.0026741950358772,36.258728414910095,4,35.07698773155777,4,0.9532317088991533
1485,26,26,True,False,False,891,6,True,1339.55,0.0,0.0,2019,148308568.65,99871.09,0.0065838047236657,291.1434394945195,4,256.5724428891039,3,0.13130945840741517
437,52,52,False,False,False,904,6,True,1291.4299999999998,0.0,0.0,2019,5604782.83,12825.59,0.0079250205598533,23.64144748103287,4,27.823682009080457,3,0.36303638992233317
2299,26,0,True,True,False,906,6,True,1641.71,0.0,58.4,2019,418658682.31,182104.69,0.0041789044236585,251.9,4,235.75,6,1.0
1207,52,52,False,False,True,917,6,True,4215.98,0.0,0.0,2019,66367317.45,54985.35,0.0086657188076833,188.103078259398,4,198.4318593669861,1,0.4995067166195715
671,26,0,True,False,False,957,6,False,1298.74,0.0,0.0,2019,26104919.5,38904.5,0.0066964044285806,101.1487467131118,4,107.18224002720308,4,0.44345632707381993
2222,26,26,True,False,False,959,6,True,1719.21,0.0,0.0,2019,269653943.02,121356.41,0.0070618581874767,330.53645925433347,4,355.4978420277837,3,0.09968410871016363
108,52,0,False,False,False,969,6,True,5550.0,7066.61,0.0,2019,8113178.16,75122.02,0.0006225720228053,20.253027862922966,4,21.3623062885948,3,0.03968933157131357
1799,26,0,True,False,False,970,6,True,0.0,0.0,161.72,2019,132982241.91,73920.09,0.0071655303831181,155.9518368102222,4,174.6435877071061,3,0.13693058524765256
324,52,52,False,False,False,986,6,True,565.0,0.0,0.0,2019,13931206.2,42997.55,0.0011706210785605,7.819429887945913,4,6.713525142615482,3,0.5605799158362079
842,26,26,False,False,False,988,6,False,19491.61,6270.8,91.0,2019,90044717.74,106941.47,0.0031316274434822,133.20495744908894,4,116.42800504044594,4,0.04358316088588302
2923,52,52,True,False,True,989,6,True,8329.48,5943.94,37627.47,2019,837771114.35,286613.45,0.0034095355449629,326.70423415609685,4,207.296490556699,1,0.2081285710257222
2301,52,0,True,True,False,39,7,True,842.82,2227.34,1501.53,2019,296624832.27,128911.27,0.0065978400709505,314.39,4,282.21902823722405,6,1.0
3132,26,0,True,True,False,59,7,True,10767.45,347.45,0.0,2019,517638042.72,165273.96,0.0047797250354268,199.2475269825785,4,221.1543123471623,6,0.6376590342390852
1494,26,0,True,True,False,128,7,True,256.2,0.0,265.42,2019,140363436.42,93951.43,0.0045867893023678,124.30075709261769,4,130.0112464688494,6,1.0
3057,26,26,False,False,False,152,7,True,13856.82,0.0,0.0,2019,573296848.89,187535.77,0.0060134085151696,416.02,4,367.17448088086286,3,0.03524468628536476
7074,52,0,True,False,True,162,7,False,5085.0,32.88,20849.92,2019,2842747594.92,401858.58,0.0059844523308078,817.5799999999999,4,1081.08,2,0.27966613272592994
5150,52,52,True,False,False,166,7,False,5130.97,0.0,69372.91,2019,2387573629.5,463606.53,0.0044120102717876,812.3906,4,791.9158000000001,4,0.06066051506020843
2994,26,26,False,False,True,192,7,False,545.91,0.0,15209.03,2019,393224564.82,131337.53,0.0055416334014959,176.93,4,224.37333333333333,2,0.9232540791191122
7703,52,52,True,True,True,205,7,False,4113.26,5055.16,12086.56,2019,3049008623.7900004,395820.93000000005,0.0052930641448609,569.8386809515304,4,548.4230195691915,0,1.0
5430,26,0,True,False,True,212,7,True,4177.8,0.0,851.0,2019,1350417759.6,248695.72,0.0059715033448542,406.16654869306086,4,431.37557717350893,1,0.3069375310431617
6172,52,52,True,True,True,216,7,False,9072.52,0.0,665.0,2019,1936407168.36,313740.63,0.0067857593954653,734.3659375253067,4,856.6121385820611,0,1.0
6076,52,0,True,False,False,229,7,False,0.0,0.0,81188.48,2019,3160275915.16,520124.41,0.0043135756473844,828.4599999999999,4,839.5500000000001,4,0.05153951076777373
7121,26,26,True,True,True,236,7,False,2373.71,539.21,131330.90000000002,2019,4543886173.440001,638096.64,0.0043121673189165,1063.22,4,1122.2666666666667,0,0.7446932592696153
397,52,52,True,True,True,238,7,False,36.0,0.0,24.0,2019,14224652.92,35830.36,0.0043054646489684,59.944851964987485,4,48.36523991722573,0,0.9990847109805674
19615,26,26,True,True,True,239,7,False,47889.68,33800.84,204609.35,2019,34155653245.1,1741302.74,0.0043501212973071,2925.25,4,2960.523333333333,0,0.23611949956337588
10862,52,52,False,False,True,249,7,True,3005.21,10221.19,0.0,2019,7238006556.18,666360.39,0.0050295986374536,1034.130169477993,4,1093.3846764139441,1,0.12197477250365511
4658,52,52,False,False,True,271,7,False,20419.13,19094.3,100875.81,2019,3665364409.379999,786896.6099999999,0.0023899560337228,759.3039999999999,4,766.9746666666665,2,0.12289914206852698
6185,26,26,False,False,True,275,7,True,3289.22,0.0,70724.68,2019,2481559925.5,401222.3,0.0051505925545041,690.47,4,705.2833333333333,1,0.17393346805023843
1448,52,52,True,True,False,282,7,True,477.0,0.0,0.0,2019,84042006.88,58040.06,0.0068960667117561,110.63436611728882,4,120.92293791585661,6,1.0
1344,52,52,True,False,False,287,7,True,0.0,1008.23,1002.5,2019,163566614.4,121701.35,0.0037992850573508,159.07256423396998,4,148.13368702870645,3,0.15326120352405875
2735,26,26,True,False,False,290,7,True,2775.5,0.0,4228.57,2019,331022355.90000004,121031.94,0.0071638809298047,274.8776164213059,4,301.63061939899796,3,0.09510344667463494
7043,52,52,True,False,False,294,7,False,4532.6,0.0,1414.0,2019,4077357928.78,578923.46,0.0046729694757143,1039.1314711563653,4,1091.268534599213,4,0.05153951076777373
10557,52,52,True,False,False,296,7,False,16265.22,0.0,140281.66999999998,2019,9124243971.03,864283.7900000002,0.0033621163441269,799.83,4,801.7966666666667,4,0.026439761425124584
5602,26,52,True,False,False,301,7,True,10981.29,3717.65,512.72,2019,1445990648.86,258120.43,0.0069247234054229,570.3041310256192,4,592.0456174887814,3,0.03173996192212864
4808,26,26,False,False,True,321,7,False,1882.0,1566.51,29784.11,2019,2383409307.28,495717.41,0.0026801431734659,367.13,4,560.2905733768113,2,0.39343781519439996
3670,26,26,True,False,False,325,7,False,1017.0,0.0,0.0,2019,612651670.2,166935.06,0.0066368961232984,334.47147980231034,4,382.69094571526597,4,0.1692754270287239
1772,26,0,False,False,True,346,7,False,174.75,0.0,18678.99,2019,250853941.96000004,141565.43000000002,0.00444920375879,223.88,4,222.1966666666667,2,1.0
2581,52,52,False,False,False,358,7,False,0.0,0.0,33885.05,2019,643594856.32,249358.72,0.0040477017729345,394.7099999999999,4,296.73999999999995,4,0.11617518168478923
9845,52,52,True,False,False,361,7,False,4740.35,0.0,8401.06,2019,9314422332.05,946106.89,0.0041020565688796,1529.9173871203998,4,1597.8810629491657,4,0.030050132595075087
5118,52,52,True,False,True,376,7,True,1100.0,0.0,428.0,2019,1490434070.88,291214.16,0.0062157093579678,640.1858828169917,4,696.1951879405902,1,0.21760226746385125
1846,26,26,True,False,False,382,7,False,5799.469999999999,0.0,19148.47,2019,178494890.34,96692.79,0.0057110193714541,165.19,4,199.04333333333332,4,0.14636475866365398
7370,52,0,True,True,True,389,7,False,6061.17,0.0,807.5,2019,1213808414.5,164695.85,0.0153571527109281,867.9990100809814,4,887.7907175727247,0,0.9765395711940033
3266,52,52,True,True,True,434,7,True,3430.5600000000004,0.0,0.0,2019,426990863.22,130738.17,0.0069594415826003,253.476329935198,4,270.75331416008544,0,0.07096654493633797
3602,52,0,False,False,False,437,7,True,2265.66,0.0,0.0,2019,869128669.16,241290.58,0.0043465239281738,305.3663484528644,4,346.3175539403737,3,0.07207048047136726
5965,26,0,False,False,True,502,7,True,4398.4,0.0,0.0,2019,1729541549.85,289948.29,0.0059427618233127,497.74545729062567,4,528.3556054065451,1,0.25844509018986234
3244,52,0,True,False,False,503,7,False,3343.55,0.0,33972.22,2019,680125750.88,209656.52,0.005373308588953,391.2185740323925,4,394.24285801079753,4,0.11998703320532501
4830,52,0,True,False,True,510,7,False,2207.71,0.0,1071.0,2019,1244564985.3,257673.91,0.0060748434386856,507.2989272180541,4,519.0271411915643,2,0.5460705974084293
14519,52,52,False,False,True,531,7,True,17715.69,52.89,2609.74,2019,8886355837.47,612050.13,0.0087703024204236,1984.57,4,1901.8933333333334,1,0.07447158397086251
3684,0,0,False,False,False,550,9,False,3618.56,0.0,1281.74,2019,1695862130.1599998,460331.74,0.0020511883723476,242.01,4,283.21666666666664,4,0.0937220856525624
1490,26,26,True,False,True,551,7,False,1513.83,43.72,72.0,2019,173281293.3,116296.17,0.0041107658914805,153.387526759557,4,163.8094251572023,2,1.0
5370,52,71,True,False,True,555,7,True,16876.059999999998,2390.61,497.7,2019,2541846593.7000003,473342.01,0.003522390466766,517.6673921763112,4,634.6105160710686,1,0.1859489133073737
3239,52,52,True,False,False,556,7,False,1238.13,0.0,73939.33,2019,811065811.36,250406.24,0.0047106346062397,429.57419276527327,4,404.129802830109,4,0.07078720239898774
2862,52,52,True,False,False,558,7,True,373.65,0.0,9049.75,2019,678602037.0600001,237107.63,0.0044577658565398,390.3515756314045,4,410.86346240446045,3,0.06757609939862992
4222,52,52,False,False,True,600,7,False,10432.490000000002,0.0,0.0,2019,1177588967.2599998,278917.33,0.006400839792874,754.93,4,722.8933333333333,2,0.353652375405951
5624,26,0,True,True,False,604,7,True,5530.700000000001,1621.27,4684.65,2019,1238116345.0400002,220148.71,0.0077327997418773,515.3004296156357,4,520.0257933431825,6,0.740488422609426
3234,26,26,True,False,True,612,7,True,3898.04,10450.54,6701.21,2019,956040125.0400002,295621.56000000006,0.0041502909640706,465.46741427569935,4,461.4710245048768,1,0.18458006965840254
548,52,52,False,False,False,635,7,False,1890.58,0.0,0.0,2019,19973712.24,36448.38,0.0048955344965972,58.100000000000016,4,58.690000000000005,4,0.5693557802018174
1230,26,0,True,True,False,642,7,False,72.0,0.0,0.0,2019,70507265.39999999,57322.98,0.007013654820274,131.41386363582228,4,113.88614931818732,5,1.0
75,52,0,False,False,True,643,7,False,1320.0,77.97,0.0,2019,1794505.5000000002,23926.74,0.0010306312954252,8.107975896153388,4,7.207957526233148,2,0.9727665340701213
1944,52,52,True,True,False,711,7,False,71.49,6214.61,6079.57,2019,454158077.04,233620.41,0.0040332287501879,456.7000000000001,4,460.93666666666667,5,0.3294174917534745
3372,52,0,True,True,False,712,7,True,884.6800000000001,0.0,0.0,2019,991602320.28,294069.49,0.0053452956129996,732.7500000000001,4,737.8866666666667,6,0.6834874240510409
267,52,52,False,False,True,718,7,True,1150.0,0.0,0.0,2019,6194795.16,23201.48,0.0040575944529534,33.19383210090193,4,39.061634078348895,1,1.0
1410,52,0,True,True,False,736,7,False,2343.86,0.0,198.0,2019,155949257.10000002,110602.31,0.0037591303303222,122.5981872573538,4,127.56497510491693,5,1.0
3722,52,52,True,True,False,757,7,False,2010.74,0.0,29075.73,2019,1044819741.2,280714.6,0.0049815927159616,525.4000000000001,4,486.96226008595477,5,0.31443322864321965
20585,52,52,False,False,True,786,7,False,23382.02,51535.21,214655.14,2019,33207794459.2,1613203.52,0.0049339710250664,3077.6600000000008,4,3095.7100000000005,2,0.0469451187184395
5880,52,52,True,False,False,854,7,True,14170.43,0.0,37955.19,2019,3084050356.8,524498.36,0.0044566494676786,929.24,4,920.3531854483,3,0.02072216485171619
