Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Promotion & Education Costs,Interest on Municipal  Capital,Total Gross Revenue,Year,Interaction of Households Serviced and operation cost,operation cost,Program efficiency,TOTAL Reported and/or Calculated Marketed Tonnes
0,0,0,True,False,False,610,8,False,200.0,0.0,0.0,2019,0.0,39195.149999999994,0.0,75.67152934976775
302,0,0,False,False,False,611,8,False,400.0,0.0,0.0,2019,11154333.76,36934.88,0.00209260484612292,19.780665332856973
1676,0,0,True,False,False,616,8,False,1915.17,993.09,0.0,2019,437639013.87999994,261121.12999999998,0.0020134073687525437,164.92
40,52,52,False,False,True,637,8,True,0.0,0.0,0.0,2019,965266.4,24131.66,0.0008756240829720381,11.1622
95,0,0,False,False,False,638,8,True,750.0,0.0,0.0,2019,1826812.95,19229.61,0.001717557100304488,11.482586231848506
75,0,0,False,False,False,639,8,False,50.0,0.0,0.0,2019,1465312.5,19537.5,0.002292321574380163,26.74408859711801
93,0,0,False,False,False,645,8,False,9636.0,0.0,0.0,2019,493537.05000000005,5306.85,0.0038284127547648836,4.438417839704656
518,26,0,False,False,True,706,6,True,805.0,0.0,0.0,2019,32464111.540000003,62672.030000000006,0.0027180369666337783,56.01811393598729
730,0,0,False,False,False,709,8,False,300.0,0.0,0.0,2019,31632440.3,43332.11,0.005209634070486333,69.80897350244135
737,0,0,False,False,False,714,8,False,0.0,0.0,0.0,2019,46505606.510000005,63101.23,0.0032136058742069065,55.7947565440038
323,0,0,False,False,False,749,8,False,300.0,0.0,0.0,2019,1418112.1199999999,4390.44,0.020541040521370433,25.180157901631535
753,0,0,False,False,True,764,8,True,0.0,0.0,0.0,2019,8797058.040000001,11682.68,0.009157497335355168,15.2
2273,0,0,False,False,False,775,8,True,12506.0,183.93,0.0,2019,205311975.39000002,90326.43000000001,0.006204159320361039,138.1643949480029
221,0,0,False,False,False,790,8,True,45.0,0.0,0.0,2019,1782882.1400000001,8067.34,0.005766326532860232,9.791898688508848
2375,26,26,True,True,True,795,8,True,7238.18,3868.13,18454.21,2019,621168401.2500001,261544.59000000003,0.002974269873794381,254.79365731271687
142,0,0,False,False,False,796,8,True,47.74,513.06,0.0,2019,3129106.32,22035.96,0.003059054299672484,32.0
445,0,0,False,False,False,797,8,False,15.0,0.0,1159.0,2019,17786730.1,39970.18,0.002605255940997285,24.367612903417886
1253,0,0,False,False,False,801,8,False,1839.0,0.0,0.0,2019,118909512.05000001,94899.85,0.004335078744943918,135.0746846492795
5037,52,52,False,False,True,809,6,True,0.0,12432.36,0.0,2019,2433318436.7100005,483088.8300000001,0.002742448190475077,348.4647917451645
1303,52,0,True,False,False,810,8,False,0.0,529.88,0.0,2019,182507314.03,140067.01,0.0028812038338048417,124.99000000000002
936,52,0,True,False,False,812,8,True,111.74000000000001,513.57,273.0,2019,75771642.96,80952.61,0.002453126961674117,42.13334248631036
550,0,0,False,False,False,818,8,False,54.82,0.0,0.0,2019,8697738.5,15814.07,0.00933796345687091,39.648701095629384
0,0,0,True,False,False,833,8,False,50.0,0.0,0.0,2019,0.0,37299.99,0.0,61.8058421221865
913,0,0,False,False,False,834,8,False,7956.23,686.51,3760.4799999999996,2019,42436650.849999994,46480.45,0.005600861004812048,74.23
